       distance     IR val
            3.7     3501.0
            4.6     3968.0
            5.6     3849.0
            6.6     3782.0
            7.6     3408.0
            9.1     3048.0
           10.2     2772.0
           11.7     2508.0
           13.1     2282.0
           14.3     2102.0
           15.5     1940.0
           16.7     1842.0
           17.9     1685.0
           19.1     1860.0
           20.3     1498.0
           21.6     1425.0
           22.7     1331.0
           24.1     1276.0
           25.6     1210.0
           26.9     1161.0
           28.0     1216.0
           28.5     1067.0
           29.6     1020.0
           30.8      944.0
           32.5      845.0
           33.7     1064.0
           35.0      719.0
           36.7      688.0
           38.0      667.0
           39.2      669.0
           40.6      880.0
           42.0      619.0
           43.2      621.0
           44.3      599.0
           46.0      554.0
           47.6      594.0
           49.3      547.0
           50.7      589.0
